date,product_id,category,region,price,discount,cost,sales,revenue,day_of_week,is_promo_day
2020-04-11,1001,Home,South,298.91,0.18,245.1062,6,1470.64,5,0
2020-04-11,1002,Fashion,South,283.38,0.14,243.7068,7,1705.95,5,0
2020-04-11,1003,Electronics,North,289.58,0,289.58,26,7529.08,5,0
2020-04-11,1004,Electronics,East,36.96,0.09,33.6336,27,908.11,5,0
2020-04-11,1005,Fashion,North,261.23,0,261.23,17,4440.91,5,0
2020-04-11,1006,Electronics,North,352.04,0.18,288.6728,20,5773.46,5,0
2020-04-11,1007,Home,North,80.4,0.03,77.988,13,1013.84,5,0
2020-04-11,1008,Fashion,East,21.32,0.26,15.7768,15,236.65,5,0
2020-04-11,1009,Home,West,375.96,0.28,270.6912,7,1894.84,5,0
2020-04-11,1010,Electronics,West,435.66,0.29,309.3186,22,6805.01,5,0
2020-04-12,1001,Electronics,South,428.26,0.29,304.0646,23,6993.49,6,0
2020-04-12,1002,Fashion,East,380.77,0.17,316.0391,16,5056.63,6,0
2020-04-12,1003,Home,North,156.5,0.07,145.545,10,1455.45,6,0
2020-04-12,1004,Electronics,West,276.81,0.21,218.6799,21,4592.28,6,0
2020-04-12,1005,Fashion,North,432.89,0.09,393.9299,14,5515.02,6,0
2020-04-12,1006,Fashion,West,343.17,0.27,250.5141,13,3256.68,6,0
2020-04-12,1007,Fashion,South,284.68,0.28,204.9696,12,2459.64,6,0
2020-04-12,1008,Fashion,East,331.7,0.02,325.066,14,4550.92,6,1
2020-04-12,1009,Electronics,West,295.79,0.26,218.8846,8,1751.08,6,0
2020-04-12,1010,Home,North,279.49,0.16,234.7716,9,2112.94,6,0
2020-04-13,1001,Fashion,West,190,0.16,159.6,20,3192,0,0
2020-04-13,1002,Electronics,East,373,0.02,365.54,20,7310.8,0,0
2020-04-13,1003,Fashion,South,423.02,0.06,397.6388,17,6759.86,0,0
2020-04-13,1004,Home,West,145.18,0.26,107.4332,12,1289.2,0,0
2020-04-13,1005,Electronics,South,153.49,0.07,142.7457,17,2426.68,0,0
2020-04-13,1006,Fashion,North,242.17,0.29,171.9407,12,2063.29,0,0
2020-04-13,1007,Home,South,254.76,0.24,193.6176,10,1936.18,0,0
2020-04-13,1008,Fashion,South,343.64,0.14,295.5304,15,4432.96,0,0
2020-04-13,1009,Home,South,199.31,0.06,187.3514,9,1686.16,0,0
2020-04-13,1010,Electronics,West,346.84,0.01,343.3716,18,6180.69,0,0
2020-04-14,1001,Home,South,38.27,0.24,29.0852,8,232.68,1,0
2020-04-14,1002,Fashion,North,59.59,0.11,53.0351,17,901.6,1,0
2020-04-14,1003,Home,West,56.62,0.08,52.0904,10,520.9,1,0
2020-04-14,1004,Fashion,South,94.73,0.04,90.9408,16,1455.05,1,0
2020-04-14,1005,Fashion,East,475.06,0.15,403.801,15,6057.01,1,0
2020-04-14,1006,Home,North,479.13,0.26,354.5562,10,3545.56,1,0
2020-04-14,1007,Electronics,South,134.79,0.1,121.311,18,2183.6,1,0
2020-04-14,1008,Home,West,374.22,0.21,295.6338,9,2660.7,1,0
2020-04-14,1009,Fashion,West,359.71,0.25,269.7825,14,3776.95,1,0
2020-04-14,1010,Fashion,North,291.56,0.19,236.1636,17,4014.78,1,0
2020-04-15,1001,Electronics,East,430.84,0.19,348.9804,17,5932.67,2,0
2020-04-15,1002,Electronics,East,84.74,0.21,66.9446,22,1472.78,2,0
2020-04-15,1003,Home,East,171.09,0.21,135.1611,10,1351.61,2,0
2020-04-15,1004,Fashion,North,208.8,0.09,190.008,19,3610.15,2,0
2020-04-15,1005,Electronics,North,309.73,0.27,226.1029,16,3617.65,2,0
2020-04-15,1006,Electronics,East,325.88,0.29,231.3748,22,5090.25,2,0
2020-04-15,1007,Home,South,71.34,0.14,61.3524,11,674.88,2,0
2020-04-15,1008,Electronics,East,248.75,0.16,208.95,15,3134.25,2,0
2020-04-15,1009,Fashion,East,451.6,0.08,415.472,16,6647.55,2,0
2020-04-15,1010,Electronics,North,321.15,0.12,282.612,14,3956.57,2,0
2020-04-16,1001,Fashion,North,424.38,0.24,322.5288,24,7740.69,3,0
2020-04-16,1002,Fashion,North,323.8,0.1,291.42,13,3788.46,3,0
2020-04-16,1003,Home,North,181.54,0.09,165.2014,7,1156.41,3,0
2020-04-16,1004,Home,South,160.73,0.26,118.9402,7,832.58,3,0
2020-04-16,1005,Electronics,West,359.1,0.11,319.599,19,6072.38,3,0
2020-04-16,1006,Home,East,31.81,0,31.81,10,318.1,3,0
2020-04-16,1007,Electronics,East,66.78,0.26,49.4172,11,543.59,3,0
2020-04-16,1008,Electronics,North,388.27,0.06,364.9738,21,7664.45,3,0
2020-04-16,1009,Fashion,North,480.55,0.27,350.8015,20,7016.03,3,0
2020-04-16,1010,Fashion,North,250.3,0.25,187.725,18,3379.05,3,0
2020-04-17,1001,Electronics,South,124.59,0.26,92.1966,27,2489.31,4,1
2020-04-17,1002,Fashion,South,31.69,0.2,25.352,13,329.58,4,0
2020-04-17,1003,Electronics,West,288.39,0.28,207.6408,16,3322.25,4,0
2020-04-17,1004,Electronics,South,434.6,0.09,395.486,14,5536.8,4,0
2020-04-17,1005,Home,South,193.98,0.02,190.1004,18,3421.81,4,0
2020-04-17,1006,Home,West,485.4,0.28,349.488,6,2096.93,4,0
2020-04-17,1007,Electronics,South,477,0.01,472.23,20,9444.6,4,0
2020-04-17,1008,Fashion,South,487.03,0.26,360.4022,12,4324.83,4,0
2020-04-17,1009,Home,North,415.79,0.01,411.6321,9,3704.69,4,1
2020-04-17,1010,Home,South,212.87,0.12,187.3256,12,2247.91,4,0
2020-04-18,1001,Home,East,35.77,0.09,32.5507,7,227.85,5,0
2020-04-18,1002,Fashion,West,318.2,0.28,229.104,12,2749.25,5,0
2020-04-18,1003,Electronics,West,233.12,0.26,172.5088,20,3450.18,5,0
2020-04-18,1004,Electronics,South,233.62,0.2,186.896,18,3364.13,5,0
2020-04-18,1005,Home,East,162.04,0.12,142.5952,7,998.17,5,0
2020-04-18,1006,Fashion,South,455.33,0.07,423.4569,13,5504.94,5,1
2020-04-18,1007,Fashion,West,381.43,0.14,328.0298,15,4920.45,5,0
2020-04-18,1008,Electronics,East,21.29,0.27,15.5417,15,233.13,5,0
2020-04-18,1009,Home,South,75.39,0.14,64.8354,11,713.19,5,0
2020-04-18,1010,Home,East,406.01,0.25,304.5075,10,3045.07,5,0
2020-04-19,1001,Fashion,South,395.38,0.21,312.3502,13,4060.55,6,0
2020-04-19,1002,Electronics,West,494.07,0.14,424.9002,24,10197.6,6,0
2020-04-19,1003,Home,East,487.49,0.21,385.1171,7,2695.82,6,0
2020-04-19,1004,Fashion,West,201.21,0.11,179.0769,15,2686.15,6,0
2020-04-19,1005,Home,South,268.92,0.08,247.4064,10,2474.06,6,0
2020-04-19,1006,Fashion,North,204.27,0.01,202.2273,11,2224.5,6,0
2020-04-19,1007,Fashion,West,259.5,0.09,236.145,18,4250.61,6,0
2020-04-19,1008,Fashion,South,305.25,0.18,250.305,11,2753.36,6,0
2020-04-19,1009,Fashion,North,210.36,0.2,168.288,14,2356.03,6,0
2020-04-19,1010,Fashion,North,194.39,0.02,190.5022,10,1905.02,6,0
2020-04-20,1001,Electronics,West,294.31,0.16,247.2204,22,5438.85,0,0
2020-04-20,1002,Home,North,207.81,0.21,164.1699,9,1477.53,0,0
2020-04-20,1003,Electronics,West,97.88,0.04,93.9648,16,1503.44,0,0
2020-04-20,1004,Electronics,South,94.42,0.1,84.978,25,2124.45,0,0
2020-04-20,1005,Fashion,West,240.2,0.11,213.778,12,2565.34,0,0
2020-04-20,1006,Electronics,North,475.37,0.3,332.759,18,5989.66,0,0
2020-04-20,1007,Fashion,North,472,0.25,354,17,6018,0,0
2020-04-20,1008,Home,East,362.15,0.01,358.5285,10,3585.28,0,0
2020-04-20,1009,Electronics,East,111.76,0.14,96.1136,16,1537.82,0,0
2020-04-20,1010,Electronics,East,146.03,0.15,124.1255,24,2979.01,0,1
2020-04-21,1001,Home,South,421.22,0.1,379.098,8,3032.78,1,0
2020-04-21,1002,Electronics,West,143.01,0.06,134.4294,18,2419.73,1,0
2020-04-21,1003,Home,South,484.98,0.01,480.1302,12,5761.56,1,0
2020-04-21,1004,Fashion,North,124.51,0.02,122.0198,24,2928.48,1,0
2020-04-21,1005,Home,East,84.89,0.1,76.401,15,1146.01,1,0
2020-04-21,1006,Home,East,184.05,0.11,163.8045,8,1310.44,1,0
2020-04-21,1007,Home,South,245.78,0.17,203.9974,4,815.99,1,0
2020-04-21,1008,Home,East,172.94,0.05,164.293,18,2957.27,1,0
2020-04-21,1009,Fashion,East,420.53,0.02,412.1194,15,6181.79,1,0
2020-04-21,1010,Fashion,North,128.43,0.02,125.8614,15,1887.92,1,0
2020-04-22,1001,Electronics,South,189.87,0.1,170.883,15,2563.25,2,0
2020-04-22,1002,Fashion,South,162.47,0.09,147.8477,15,2217.72,2,0
2020-04-22,1003,Electronics,North,479.32,0.07,445.7676,15,6686.51,2,0
2020-04-22,1004,Home,South,448.3,0.05,425.885,9,3832.97,2,1
2020-04-22,1005,Electronics,East,28.71,0.19,23.2551,25,581.38,2,0
2020-04-22,1006,Home,North,93.38,0.22,72.8364,14,1019.71,2,0
2020-04-22,1007,Home,North,272.59,0.25,204.4425,9,1839.98,2,0
2020-04-22,1008,Home,East,485.73,0.01,480.8727,10,4808.73,2,0
2020-04-22,1009,Home,South,451.57,0.25,338.6775,11,3725.45,2,1
2020-04-22,1010,Home,East,287.73,0.09,261.8343,10,2618.34,2,0
2020-04-23,1001,Electronics,South,221.38,0.2,177.104,23,4073.39,3,0
2020-04-23,1002,Home,East,495.96,0.11,441.4044,9,3972.64,3,0
2020-04-23,1003,Electronics,South,221.31,0.26,163.7694,29,4749.31,3,0
2020-04-23,1004,Home,West,134.28,0.05,127.566,11,1403.23,3,0
2020-04-23,1005,Home,West,38.13,0.27,27.8349,12,334.02,3,0
2020-04-23,1006,Fashion,South,230.29,0.29,163.5059,17,2779.6,3,0
2020-04-23,1007,Home,South,452.58,0.04,434.4768,8,3475.81,3,0
2020-04-23,1008,Electronics,North,409.3,0.22,319.254,20,6385.08,3,0
